F1	#dependency_up||X--up||X--down||
F3106	#dependency_결성-@-NNG--오-@-VV
F4359	나주시-@-NNP
F1272	#dependency_up||NP--up||NP--up||NP_SBJ--up||NP_AJT--down||NP_MOD--down||NP_CNJ--down||NP--down||
F5337	본부-@-NNG
F2	#dependency_up||NP_MOD--up||VNP_MOD--down||VNP--down||NP_MOD--down||NP--down||
F10	#dependency_up||NP_OBJ--up||VP--down||AP--down||NP_AJT--down||NP--down||NP_CNJ--down||
F4360	계열-@-NNG
F15	#dependency_차-@-NNB
F2835	사령-@-NNG
F2824	스타-@-NNG
F2825	리-@-NNB
F2839	#dependency_up||NP_AJT--up||VP--up||VP--up||VP_MOD--up||NP_AJT--up||VP--down||NP_SBJ--down||
F2826	벌어지-@-VV
F4115	#dependency_내쫓-@-VV--년-@-NNB--고려_-@-NNP--예종-@-NNP
F3	대선-@-NNG
F4	용의_눈물-@-NNP
F4361	_-@-NNG
F2827	#dependency_up||NP_SBJ--up||VP--down||NP_OBJ--down||VP_MOD--down||VP--down||NP_AJT--down||NP--down||NP--down||
F4364	키우-@-VV
F1595	#dependency_up||NP_OBJ--up||VP_MOD--up||NP_AJT--down||
F2828	패-@-NNB
F5	_구_-@-NNP
F2829	#dependency_up||NP_OBJ--down||VP_MOD--down||
F33	#dependency_나라_선-@-NNP
F1354	#dependency_과-@-NNG--잇-@-VV--노선-@-NNG
F7	#dependency_up||NP--up||NP_SBJ--up||VP--down||NP_AJT--down||NP--down||NP_MOD--down||
F8	포크-@-NNG
F1355	소비-@-NNG
F2802	#dependency_하-@-VV--대선-@-NNG--후보-@-NNG
F1356	일-@-NNP
F2866	#dependency_집필-@-NNG
F2830	#dependency_up||X--up||NP--up||X--up||NP--down||X--down||
F11	#dependency_up||X--up||NP--down||X--down||NP--down||X--down||NP--down||X--down||X--down||
F1253	#dependency_up||X_AJT--down||NP_AJT--down||NP--down||
F12	요리-@-NNG
F13	#dependency_국방-@-NNG--위원-@-NNG
F1347	#dependency_있-@-VA--수영로_-@-NNP--부산-@-NNP--남구_-@-NNP--부산-@-NNP--광역-@-NNG--시-@-NNG
F14	히가시_구_-@-NNP
F2875	#dependency_up||NP_MOD--up||VNP--down||NP_MOD--down||
F461	기대-@-NNG
F2833	여객철-@-NNP
F1358	동원-@-NNG
F2880	_항-@-NNP
F2882	조장-@-NNG
F4366	거치-@-VV
F3608	어머니-@-NNG
F1360	#dependency_위치-@-NNG--미나미큐슈_시-@-NNP
F4387	재풍-@-NNP
F4938	정식-@-NNG
F4367	삼존-@-NNG
F4368	#dependency_무신-@-NNG--후기-@-NNG
F1361	#dependency_up||NP--down||VP_MOD--down||NP_AJT--down||NP--down||
F16	마이크_-@-NNP
F4369	#dependency_up||NP--up||NP_MOD--up||VNP--down||NP_SBJ--down||
F3609	휘하-@-NNG
F1362	하-@-NNG
F1363	가담-@-NNG
F5313	눈-@-NNG
F2834	관음-@-NNG
F17	#dependency_과-@-NNG--등-@-NNB--맞아들이-@-VV--뒤-@-NNG--즉위-@-NNG
F4540	#dependency_마애-@-NNG--여래-@-NNG--좌상-@-NNG--좌상-@-NNG--있-@-VA--선운-@-NNP--아산면-@-NNP--고창군-@-NNP
